Frame,Player,Pelvis x,Pelvis y,Pelvis z,Left Hip x,Left Hip y,Left Hip z,Right Hip x,Right Hip y,Right Hip z,Spine1 x,Spine1 y,Spine1 z,Left Knee x,Left Knee y,Left Knee z,Right Knee x,Right Knee y,Right Knee z,Spine2 x,Spine2 y,Spine2 z,Left Ankle x,Left Ankle y,Left Ankle z,Right Ankle x,Right Ankle y,Right Ankle z,Spine3 x,Spine3 y,Spine3 z,Left Foot x,Left Foot y,Left Foot z,Right Foot x,Right Foot y,Right Foot z,Neck x,Neck y,Neck z,Left Collar x,Left Collar y,Left Collar z,Right Collar x,Right Collar y,Right Collar z,Head x,Head y,Head z,Left Shoulder x,Left Shoulder y,Left Shoulder z,Right Shoulder x,Right Shoulder y,Right Shoulder z,Left Elbow x,Left Elbow y,Left Elbow z,Right Elbow x,Right Elbow y,Right Elbow z,Left wrist x,Left wrist y,Left wrist z,Right Wrist x,Right Wrist y,Right Wrist z,Left Index1 x,Left Index1 y,Left Index1 z,Right Index1 x,Right Index1 y,Right Index1 z
0,1,-0.6722334,0.25457284,-3.02258,-0.40464586,0.018999657,0.05299767,-0.22187075,0.022320664,-0.09713964,0.2583108,0.012460668,0.0008818586,0.47960225,0.06599168,-0.07758768,0.84263086,0.046129912,0.05914285,-0.041539863,0.0034378278,-0.043549497,0.07170386,0.12269155,-0.11991242,0.06311301,-0.13433076,0.17083912,-0.0022249864,0.007994233,-0.03772418,-0.1406816,0.08689414,0.20621127,-0.16965598,-0.023246765,-0.22315028,-0.23760265,-0.06769075,-0.040258124,-0.10420159,-0.3022697,-0.1759702,-0.12811865,0.26231718,0.0032620863,-0.07113565,0.014545272,-0.007744438,-0.020355737,-0.52404964,-0.8009531,-0.1051219,0.38580972,0.47254306,-0.069803484,-1.6026685,0.5798825,-0.037377663,1.6949987,-0.5030661,-0.115299605,-0.17348771,0.11958294,-0.072465,0.21452282,-0.11106727,-0.031241722,-0.06298091,-0.13915592,-0.053644937,0.055388864,0.14049783
1,1,-0.66257024,0.2636893,-3.0198143,-0.4015368,0.014647212,0.04656587,-0.22784077,0.023207033,-0.094277345,0.2588698,0.015722066,0.0006857319,0.46911386,0.05859835,-0.07569409,0.8425111,0.046100613,0.05678136,-0.037701663,0.008446827,-0.047146477,0.069477595,0.12507282,-0.11782825,0.06255665,-0.138544,0.17435606,0.0026074299,0.012543142,-0.04021897,-0.14081198,0.0884192,0.20441781,-0.17058825,-0.018742932,-0.22748034,-0.23093617,-0.061126046,-0.046610143,-0.10765637,-0.30322072,-0.16648798,-0.12854823,0.27254647,-0.0076164487,-0.069441035,0.018343147,-0.011705744,-0.023842141,-0.525119,-0.80292106,-0.112564854,0.3972635,0.46583164,-0.074231945,-1.5992469,0.5872791,-0.034082327,1.6835684,-0.4962865,-0.112387866,-0.16858777,0.110957734,-0.0689181,0.210362,-0.09863364,-0.034349963,-0.063570805,-0.1378095,-0.055910803,0.055999447,0.13983497
2,1,-0.66475236,0.27021855,-3.0175421,-0.40365773,0.019934962,0.055082653,-0.22716126,0.018011592,-0.091106266,0.26386264,0.010038937,0.0026254174,0.4710672,0.063685745,-0.07420772,0.8293396,0.041739218,0.05862953,-0.040339924,0.004643389,-0.04575676,0.07503785,0.12672688,-0.1261008,0.0577895,-0.13724369,0.16953221,-0.0012548269,0.009486433,-0.039385393,-0.14556208,0.08141526,0.21378864,-0.17037629,-0.025417624,-0.22718085,-0.25701135,-0.089712165,-0.051911008,-0.099550605,-0.30834436,-0.18281336,-0.12821652,0.28001755,0.0025380303,-0.09087988,-0.0020018388,-0.0069814026,-0.009288843,-0.5225341,-0.82956415,-0.112790495,0.39948264,0.47693625,-0.059075467,-1.6265146,0.5916792,-0.028117837,1.6973879,-0.50955373,-0.11060956,-0.17249788,0.12778409,-0.056369796,0.21349959,-0.12257676,-0.037341487,-0.067143604,-0.14438124,-0.060634814,0.05947416,0.14558916
3,1,-0.654982,0.27706975,-3.0191066,-0.39287207,0.019767907,0.056398176,-0.22104864,0.0119247185,-0.08461864,0.25984985,0.006709398,-0.000828705,0.43254822,0.058971893,-0.07182341,0.78497106,0.04077633,0.059137665,-0.036325585,-0.0011927516,-0.04403525,0.07484733,0.12830155,-0.13129653,0.054779258,-0.13974033,0.1747813,0.004848241,0.0041820863,-0.037992213,-0.14137726,0.07850492,0.21748796,-0.16436788,-0.023737993,-0.23441651,-0.24068853,-0.09508877,-0.05363855,-0.10334844,-0.3086328,-0.17814444,-0.12762772,0.26203603,0.008550006,-0.07555453,-0.018295087,0.0031266296,-0.017470874,-0.53167117,-0.80134517,-0.10345853,0.37450662,0.47905517,-0.06145926,-1.5892245,0.57841045,-0.03375622,1.6993561,-0.5162982,-0.097843595,-0.17215014,0.12756349,-0.056534078,0.21396983,-0.12549485,-0.047436405,-0.0698224,-0.15044618,-0.06937144,0.06275393,0.15324898
4,1,-0.6587639,0.27480754,-3.0163286,-0.3904385,0.020779254,0.05583476,-0.21411449,0.013806441,-0.09089524,0.253502,0.0077860346,0.0010539774,0.43210015,0.059527162,-0.07276145,0.7997962,0.04577472,0.057880726,-0.037898205,0.002607793,-0.044561103,0.070762895,0.12876536,-0.12956677,0.05230811,-0.13880974,0.17599949,0.0031498547,0.0067591006,-0.03646937,-0.14089207,0.08013028,0.21814719,-0.16609804,-0.020897897,-0.23489271,-0.2484141,-0.09259876,-0.042880055,-0.10673366,-0.30017447,-0.17707467,-0.12862046,0.26142627,0.0030887804,-0.07703415,-0.005722307,0.006594743,-0.021928396,-0.5227139,-0.7898332,-0.10592472,0.37368894,0.4692277,-0.07694412,-1.6110888,0.5872623,-0.039183848,1.6737733,-0.4941708,-0.10904608,-0.17369531,0.11671439,-0.07168829,0.21283409,-0.10213761,-0.04371562,-0.06804573,-0.14856987,-0.06288949,0.06062405,0.14804263
5,1,-0.6857116,0.28364787,-3.010833,-0.38096195,0.023486983,0.06261921,-0.2158496,0.016649373,-0.08755205,0.25848892,0.0023397368,0.001699553,0.41868517,0.06078353,-0.06941675,0.7957862,0.0421979,0.057707403,-0.036061335,-0.0014127829,-0.043283746,0.07863351,0.12810831,-0.13219517,0.052016024,-0.13460992,0.169147,-0.00142523,0.0036711504,-0.03565253,-0.13865377,0.07618032,0.21765262,-0.16044173,-0.025794413,-0.2276293,-0.24763611,-0.10531277,-0.04548622,-0.10298765,-0.29150158,-0.18413834,-0.12732723,0.25226983,0.010987293,-0.08202659,-0.016041167,0.010163597,-0.022079946,-0.51011103,-0.7855035,-0.103828914,0.36241102,0.47146848,-0.07818484,-1.6456646,0.6006791,-0.038830593,1.7128714,-0.50539154,-0.10511357,-0.17700393,0.121888824,-0.07889433,0.21630569,-0.1048611,-0.044408,-0.06839438,-0.15105857,-0.058975447,0.060684714,0.14873382
6,1,-0.67686766,0.278661,-3.0190837,-0.3805023,0.027116397,0.059218302,-0.21807721,0.015935663,-0.08582033,0.25249252,0.0026886151,0.0030102276,0.42736417,0.067130655,-0.07140692,0.79068446,0.038776185,0.061440945,-0.035912916,-0.001258182,-0.03889467,0.075006254,0.12644452,-0.13235225,0.050204407,-0.1320159,0.1669724,-0.00072802644,0.003086033,-0.0335972,-0.13934906,0.07574557,0.22095989,-0.16363695,-0.030207064,-0.22548272,-0.24350375,-0.09234533,-0.036388427,-0.104806155,-0.29768413,-0.17956568,-0.13079987,0.26034883,0.014204935,-0.07337154,-0.0061600925,0.006141051,-0.030459026,-0.52001375,-0.79011333,-0.11249952,0.3933455,0.48934358,-0.08485382,-1.63593,0.6105432,-0.052769817,1.7091383,-0.52357066,-0.09717491,-0.17321914,0.13349366,-0.07378037,0.21032423,-0.117647044,-0.046864867,-0.0707718,-0.15526788,-0.061346665,0.061764516,0.15156637
7,1,-0.6814978,0.30273438,-3.01,-0.378452,0.026334327,0.064047344,-0.2268462,0.018802706,-0.083195224,0.26071024,0.0030112206,0.0030022205,0.43638206,0.06276597,-0.071047135,0.8093228,0.035363827,0.061347477,-0.037665643,0.0028635305,-0.042238332,0.07283791,0.12826453,-0.13492331,0.0412236,-0.1325639,0.1620659,-0.005811621,0.0056208572,-0.034466412,-0.14330585,0.0777518,0.2271287,-0.16552778,-0.031674117,-0.22619888,-0.25518784,-0.083402924,-0.03767094,-0.112007335,-0.29893398,-0.18342018,-0.1304919,0.26495788,0.019402862,-0.08527404,0.004307452,0.0042627724,-0.05636008,-0.51681256,-0.7700259,-0.11578061,0.3827176,0.49556074,-0.11822241,-1.6678251,0.66353804,-0.062468957,1.6968923,-0.5297629,-0.07958758,-0.17294507,0.15767632,-0.08055921,0.20682321,-0.11922108,-0.050881278,-0.07302597,-0.16192105,-0.057872985,0.063991964,0.1546783
8,1,-0.70059496,0.28531012,-3.0159633,-0.37901118,0.023795689,0.067117,-0.22419044,0.028862074,-0.07811527,0.25463116,0.004085178,0.0055815396,0.43663254,0.06042534,-0.06832764,0.792662,0.041489672,0.05821752,-0.034356907,0.001042452,-0.04126396,0.079609945,0.11974296,-0.13943848,0.040101096,-0.121597745,0.15797329,-0.0033325509,0.0062428922,-0.03434218,-0.14904612,0.07691236,0.22964756,-0.16539444,-0.03458453,-0.22204988,-0.2516338,-0.09245966,-0.047364857,-0.106211565,-0.27775362,-0.18922915,-0.1276378,0.25824648,0.026356589,-0.08228273,-0.0035974833,-0.0020303,-0.046855696,-0.5069384,-0.80646807,-0.107954465,0.39421383,0.5211727,-0.12214981,-1.6928306,0.67944616,-0.055837974,1.7310534,-0.5389997,-0.08056882,-0.16864288,0.17697293,-0.077993736,0.20481874,-0.14049885,-0.057557367,-0.0757896,-0.16991058,-0.0630263,0.06712408,0.16224758
9,1,-0.7065011,0.2849599,-3.014376,-0.36268917,0.022823261,0.05547365,-0.20585153,0.039638884,-0.08548265,0.2372868,0.0031718183,0.006591091,0.43349284,0.057421606,-0.06715013,0.79774696,0.05684669,0.050538324,-0.036491487,0.0029451004,-0.04129207,0.078308195,0.12451471,-0.14171986,0.049718935,-0.124191046,0.16578224,-0.0065064984,0.006590872,-0.03516401,-0.14404535,0.073958695,0.23176058,-0.1674142,-0.026345711,-0.22881575,-0.26075342,-0.084477454,-0.05354477,-0.11349177,-0.28343597,-0.19177152,-0.12770635,0.2579586,0.037841685,-0.07386508,0.0023011488,-0.008834269,-0.05621619,-0.5044539,-0.7568252,-0.091170914,0.36826324,0.4980125,-0.13270624,-1.7278062,0.67712647,-0.052506123,1.7217855,-0.51212734,-0.08928607,-0.18228507,0.16412787,-0.09166714,0.21459785,-0.11827155,-0.05418268,-0.07468929,-0.17033575,-0.0609912,0.066927105,0.16160592
