frame,pelvis x,pelvis y
0,936.058,325.97775
1,931.92596,324.0084
2,929.83136,324.07645
3,928.4769,323.8578
4,928.6529,323.89
5,927.453,323.5814
6,928.60236,323.99957
7,929.53375,323.6366
8,942.10425,322.8032
9,943.2531,321.87393
10,943.6987,321.88672
11,934.72076,321.66446
12,942.3852,319.3112
13,943.7874,316.0835
14,945.4876,312.27985
15,957.2028,307.9184
16,959.785,307.83395
17,967.5729,304.37683
18,970.214,300.2757
19,978.2265,298.09048
20,976.29504,297.38824
21,978.4634,295.49167
22,978.3058,295.55704
23,980.951,293.10883
24,984.13525,291.55618
25,991.67615,290.13943
26,990.4702,290.24326
27,988.48206,290.14722
28,988.6063,290.1337
29,982.8968,289.12173
30,973.8758,288.67465
31,971.23553,289.53912
32,975.149,290.09677
33,980.56274,289.4093
34,982.468,289.78415
35,980.70905,290.0558
36,975.21747,288.73083
37,970.1511,287.17825
38,983.03046,285.08954
39,992.14233,286.91678
40,992.1017,286.8078
41,997.44495,291.02698
42,1006.4592,292.59387
43,1005.85614,290.1918
44,1018.8856,289.19962
45,1024.8613,293.15314
46,1024.7805,293.10458
47,1036.2819,300.25586
48,1030.0981,309.73395
49,1039.1967,321.12427
50,1061.9807,326.56308
51,1067.6147,332.38644
52,1067.6483,332.42188
53,1077.8661,340.48883
54,1084.1967,349.36142
55,1096.566,358.52954
56,1109.2976,368.55316
57,1113.1909,379.01495
58,1113.6694,379.01053
59,1140.5015,386.87537
60,1153.4658,392.59973
61,1159.302,399.494
62,1166.3481,402.55457
63,1171.1084,404.5478
64,1171.1669,404.5335
65,1168.8496,404.8441
66,1157.8368,404.1242
67,1144.4847,402.16586
68,1136.3337,399.5536
69,1131.3832,395.56363
70,1131.0718,395.5969
71,1123.9562,389.3657
72,1123.5801,384.4003
73,1126.5488,380.84488
74,1126.46,378.44028
75,1126.3943,376.91245
76,1126.5223,376.91653
77,1123.8455,374.772
78,1116.1827,372.38455
79,1106.0554,369.2578
80,1093.6482,364.1959
81,1072.9213,360.07013
82,1072.855,360.03537
83,1062.9413,356.2559
84,1053.9738,353.53787
85,1046.7677,352.32068
86,1047.6511,350.9449
87,1048.3046,349.15085
88,1048.3492,349.20224
89,1048.5466,349.64383
