frame,nose_x,nose_y,left_eye_x,left_eye_y,right_eye_x,right_eye_y,left_ear_x,left_ear_y,right_ear_x,right_ear_y,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_elbow_x,left_elbow_y,right_elbow_x,right_elbow_y,left_wrist_x,left_wrist_y,right_wrist_x,right_wrist_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,right_knee_x,right_knee_y,left_ankle_x,left_ankle_y,right_ankle_x,right_ankle_y
0,810.4683,625.2678,805.20197,620.0014,815.73474,617.3682,799.93555,625.2678,823.63434,622.63464,789.4028,654.233,834.1671,651.5998,789.4028,688.46454,863.13226,677.93176,813.10156,688.46454,860.4991,667.399,799.93555,733.22894,828.9007,733.22894,807.83514,788.5261,831.53394,791.1593,807.83514,835.92365,823.63434,841.19006
1,810.6206,625.13354,805.3583,619.8712,815.88293,617.2401,800.09595,625.13354,823.7765,625.13354,789.5714,654.0764,834.30115,651.4452,789.5714,688.2815,863.2439,680.38794,813.25183,688.2815,860.6127,667.2322,800.09595,733.0112,829.0388,733.0112,807.9895,788.2656,831.6699,790.8967,807.9895,835.62646,823.7765,840.8888
2,810.5825,625.2943,805.3157,620.0274,815.8495,617.394,800.0488,625.2943,823.74976,622.6609,789.51514,654.2621,834.28345,651.62866,792.14856,688.49677,863.25134,677.963,813.21606,688.49677,860.6179,667.42926,800.0488,733.2652,829.0166,733.2652,807.9491,785.9339,831.65,791.2008,807.9491,835.96924,823.74976,841.2361
3,810.5639,625.2722,805.29626,620.0046,815.83154,617.3707,800.0286,625.2722,823.733,622.63837,789.49335,654.24414,834.26825,651.61035,792.1272,688.48376,863.2402,680.58234,813.1977,688.48376,860.6064,667.4132,800.0286,733.25867,829.0006,733.25867,807.93005,785.93494,831.6344,791.2026,807.93005,835.9775,823.733,841.2451
4,810.62573,625.2683,805.35596,619.99866,815.8955,617.3638,800.0863,625.2683,823.80005,622.6334,789.54675,654.25195,834.3395,651.61707,792.18164,688.5051,863.3231,680.6006,813.2606,688.5051,860.68823,667.4263,800.0863,733.298,829.0698,733.298,807.99084,785.99524,831.7047,791.265,807.99084,836.05774,823.80005,841.3275
5,810.55237,624.938,805.2826,619.6682,813.1872,617.0333,800.0129,624.938,823.72675,624.938,789.4733,653.92163,834.26624,653.92163,789.4733,688.17505,863.2499,680.2704,813.1872,688.17505,863.2499,667.09607,800.0129,732.9679,828.99646,732.9679,807.9175,785.6654,831.63135,790.9352,807.9175,835.728,823.72675,840.9978
6,810.5885,625.09607,805.3307,619.8383,815.8462,617.2095,800.073,622.46716,823.7328,622.46716,789.5575,654.0136,834.2483,654.0136,789.5575,688.1889,863.1659,680.3023,813.2173,688.1889,863.1659,667.15796,800.073,732.8797,828.9906,732.8797,807.9596,785.4571,831.6194,790.7148,807.9596,835.4056,823.7328,840.66327
7,810.6594,624.843,805.398,619.5816,815.92084,616.9509,800.1366,622.21234,823.8129,622.21234,789.6138,653.7808,834.33575,653.7808,789.6138,687.98,863.27356,680.0879,813.2901,687.98,863.27356,666.9343,800.1366,732.702,829.07434,732.702,808.0287,785.31616,831.7051,790.5775,808.0287,835.29956,823.8129,843.19165
8,810.7892,624.602,805.524,619.33685,816.0543,616.7042,800.25885,624.602,823.952,621.9694,789.7286,656.1929,834.4823,653.56024,789.7286,687.78375,863.4406,679.886,813.42175,687.78375,863.4406,666.72314,800.25885,732.5375,829.21716,732.5375,808.15656,785.1889,831.84973,790.45404,808.15656,835.2078,823.952,843.1055
9,813.43195,624.6173,805.52655,619.3471,816.0671,616.712,800.2563,624.6173,823.9724,624.6173,789.7158,653.6037,834.51294,653.6037,789.7158,687.8603,863.49927,679.95496,813.43195,687.8603,863.49927,666.7793,800.2563,732.6574,829.2427,732.6574,808.1617,785.3599,831.8778,790.6301,808.1617,835.42725,823.9724,840.6975
10,813.4468,624.37476,805.5358,619.1007,816.0838,616.46375,800.26184,624.37476,823.99475,624.37476,789.71387,656.01855,834.5427,653.3816,789.71387,687.6625,863.5496,679.75146,813.4468,687.6625,860.9126,666.5665,800.26184,732.49133,829.26874,732.49133,808.1728,785.2311,831.9057,790.5051,808.1728,835.33386,823.99475,840.6079
