frame,nose_x,nose_y,left_eye_x,left_eye_y,right_eye_x,right_eye_y,left_ear_x,left_ear_y,right_ear_x,right_ear_y,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_elbow_x,left_elbow_y,right_elbow_x,right_elbow_y,left_wrist_x,left_wrist_y,right_wrist_x,right_wrist_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,right_knee_x,right_knee_y,left_ankle_x,left_ankle_y,right_ankle_x,right_ankle_y
0,839.1088,428.11237,843.2556,426.03894,834.962,426.03894,849.4759,426.03894,830.8151,428.11237,861.9163,444.69965,820.44806,446.77307,874.3568,473.72748,810.081,482.02112,876.43024,496.53503,822.5215,488.24133,849.4759,496.53503,824.5949,498.6084,855.6961,540.07666,828.74176,538.0033,851.54926,571.17786,828.74176,593.9855
1,839.0658,428.22357,843.21423,426.14935,834.91724,426.14935,849.4369,426.14935,830.7688,428.22357,861.8823,444.8175,820.3976,446.89172,874.3279,473.85687,810.02637,480.0796,876.4021,494.59924,822.4718,488.37653,851.5112,496.67346,824.546,498.74774,855.65967,538.15826,828.6946,538.15826,851.5112,571.3461,828.6946,592.0885
2,839.1138,428.15472,843.2615,426.08087,834.96606,426.08087,849.48303,426.08087,830.81836,428.15472,861.92615,444.74548,820.4492,446.81934,874.36914,473.77936,810.07996,482.0747,876.443,494.51782,822.5231,488.29626,849.48303,496.5916,824.5969,498.66547,855.7046,540.1424,828.7445,540.1424,851.5569,571.25006,828.7445,594.0624
3,839.2413,429.10657,843.4204,424.92743,835.0621,424.92743,849.6892,427.01703,830.88293,429.10657,860.13715,443.7337,820.435,447.91284,872.6746,472.9879,809.98706,481.34625,876.8538,495.97333,822.5246,487.615,849.6892,495.97333,824.61414,500.15253,855.95795,539.8546,828.79333,539.8546,851.77875,571.1984,828.79333,592.0943
4,839.2066,429.15054,843.38873,424.96835,835.0245,424.96835,849.662,427.05942,830.84235,427.05942,860.1174,443.78806,820.3869,447.97018,872.6638,473.06308,809.9316,481.4274,876.846,496.0649,820.3869,487.70065,849.662,496.0649,824.5691,498.15604,855.93524,539.97754,828.7512,537.8865,851.75305,571.3436,828.7512,592.2544
5,839.1316,428.9278,843.3039,424.75555,834.9593,424.75555,849.56226,426.84167,830.78705,428.9278,859.993,445.61688,820.3563,447.70306,872.5098,474.82288,809.92566,481.08124,876.68207,495.68427,820.3563,487.33966,849.56226,497.7704,824.5286,499.8565,855.8207,539.49316,828.7009,539.49316,851.64844,570.7852,828.7009,593.7327
6,838.8501,429.01642,843.0184,424.8482,834.6819,424.8482,849.2707,426.9323,830.5137,429.01642,859.6913,445.6894,820.0931,447.7735,874.2801,474.867,809.6725,481.11932,876.3642,495.70813,822.1772,487.37164,849.2707,497.79224,826.3454,499.87634,855.523,539.47455,828.4295,539.47455,851.3548,572.8204,828.4295,591.5774
7,838.67865,428.26752,842.8618,424.08435,834.49554,424.08435,849.13654,426.1759,830.3124,428.26752,859.59436,445.00006,819.85455,447.0916,874.23535,474.28204,809.39667,480.55676,876.3269,495.19775,821.9461,488.92303,851.2281,497.2893,826.1293,499.38092,855.41125,539.1207,828.2208,539.1207,851.2281,572.5859,828.2208,593.5016
8,838.23224,427.6623,842.4519,423.4427,834.0126,423.4427,848.7814,425.5525,829.7929,427.6623,861.44037,444.54095,821.35364,446.65082,874.09937,474.07855,808.69464,480.40808,876.20917,495.17688,821.35364,488.84735,850.89124,497.28668,825.57324,499.39655,855.1109,539.4833,829.7929,539.4833,853.00104,571.13074,827.6831,592.22906
9,838.2911,428.09546,842.4802,423.9063,834.1019,423.9063,848.7639,426.00085,829.91284,428.09546,859.23676,442.7574,819.44,446.94653,873.8987,474.1759,808.96716,480.4596,875.9932,495.12152,821.53455,488.83783,850.85846,499.31067,825.7237,499.31067,857.14215,539.1074,827.81824,541.20197,850.85846,570.52594,827.81824,591.47156
