frame 0
pose 0
798.9591 618.39185 0.37430254
793.604 613.03674 0.5496459
809.6694 613.03674 0.4537476
790.92645 618.39185 0.9277473
815.0245 615.7143 0.9531844
780.21625 647.845 0.90478545
823.0571 645.1674 0.8969014
780.21625 679.9757 0.9012001
852.5103 671.94305 0.881758
806.9918 679.9757 0.44051534
855.18787 661.2328 0.90850794
788.2489 722.81665 0.77821296
815.0245 725.4942 0.7750647
796.28156 784.4005 0.9228737
820.37964 784.4005 0.92109585
796.28156 832.59656 0.86115146
812.3469 832.59656 0.87859184
pose 1
945.627 433.58368 0.9729159
949.711 429.49957 0.97861284
943.585 429.49957 0.96900284
959.9212 425.41553 0.94558465
941.5429 429.49957 0.84183335
974.2154 439.70978 0.877799
941.5429 451.96198 0.8977236
994.6358 447.87787 0.93379784
931.3328 472.38226 0.90949833
970.1314 466.25616 0.9075867
919.08057 490.76056 0.87952006
992.5937 494.8446 0.79977906
968.0893 500.9707 0.8262084
978.2995 541.81134 0.94096106
961.9632 545.8954 0.93110985
974.2154 598.9882 0.9233571
986.4676 576.5258 0.9077672
pose 2
270.75558 552.22864 0.8334165
270.75558 548.4971 0.75418466
267.9569 548.4971 0.85650223
260.49384 552.22864 0.40190712
260.49384 552.22864 0.8629465
253.03073 576.48364 0.48264655
243.70187 579.2823 0.6037582
264.22537 611.0004 0.42599106
249.2992 621.2622 0.56198686
283.81598 620.3293 0.53217113
281.9502 623.1279 0.36690867
269.8227 628.7253 0.20339887
259.09448 633.85614 0.14619254
289.4133 625.92664 0.071073346
294.54416 628.25885 0.05017165
278.21866 628.7253 0.028852198
250.23209 625.92664 0.0335612
pose 3
1259.1385 297.15 0.8834318
1262.7797 293.50888 0.87537986
1257.318 293.50888 0.90877134
1267.331 295.32944 0.7611911
1250.0356 294.41916 0.8724002
1271.8826 313.53513 0.6217039
1242.7534 312.62485 0.6388258
1279.1648 338.11276 0.7637255
1230.9198 339.93335 0.7748878
1277.3442 359.0493 0.83160794
1234.5609 358.139 0.801814
1267.331 365.4213 0.59689516
1244.574 365.4213 0.6156358
1265.9657 378.6204 0.08789792
1245.9395 378.6204 0.13768944
1277.3442 360.86987 0.112247646
1239.1123 360.86987 0.17019166
pose 4
10.659187 358.37292 0.79229337
12.349243 354.9928 0.8210629
7.2790756 354.9928 0.8430618
14.039299 356.68286 0.55317974
2.2089005 356.68286 0.63250643
10.659187 376.96356 0.61879367
2.2089005 371.89337 0.31507516
24.179642 398.93427 0.68491405
8.969131 410.76465 0.78195405
49.530495 419.21497 0.668704
36.010033 444.5658 0.6539622
8.969131 434.42548 0.5539233
2.2089005 437.8056 0.5271355
57.980766 442.87573 0.71934897
46.150383 451.32605 0.74298865
69.811165 493.57745 0.7121192
57.980766 508.78796 0.7646538
pose 5
1666.22 287.62158 0.9060708
1669.4487 284.39276 0.91980106
1662.9912 282.77838 0.94499314
1677.5208 286.00717 0.8355898
1656.5337 286.00717 0.86816704
1685.5928 306.99442 0.69600546
1650.0759 305.38004 0.71993387
1685.5928 334.4393 0.7527397
1640.3896 332.8249 0.5860774
1659.7625 337.66812 0.63498515
1659.7625 339.2825 0.34612048
1674.292 358.65536 0.58128786
1646.8472 357.04095 0.56551707
1650.0759 379.6426 0.34831223
1621.0166 374.7994 0.3781262
1653.3047 413.54507 0.30892435
1621.0166 418.38834 0.3681872
pose 6
666.728 288.07397 0.8842762
669.4369 284.46207 0.89240164
